TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
JUVDIC,2021,12,23,3,2410661.0,271264.0,2681925.0,0.0,-999.0,15.088020612060369,96.21408072186956,0.0614691872442368,0.0,14.7607298861825,3997.71,147.65,111.41,2021-12-23 03:00:00,859.75473
DOMINGO,2018,4,22,9,2151110.0,205066.0,2356176.0,348.3628688009724,0.3283638403922287,18.73420193567883,90.60197674112632,0.0927926691384684,785.5784607559028,17.939758341482133,2757.96,113.43,98.9,2018-04-22 09:00:00,920.84
SAALF,2020,6,20,11,2298868.0,263706.0,2562574.0,703.1687610777288,0.5628620597883223,23.27313688502264,66.02183677037229,0.2035795219962428,942.2882816847437,19.91118592087487,3733.27,122.59,104.97,2020-06-20 11:00:00,1121.06365
SAALF,2021,6,5,9,2367233.0,267865.0,2635098.0,412.8983351093584,0.4084524750123146,20.244738237439368,81.73939418951402,0.5927312987979954,731.6720854973895,18.606332846064927,3609.2,136.81,108.78,2021-06-05 09:00:00,1156.87866
MARTES,2021,2,16,6,2348937.0,266815.0,2615752.0,21.414392476809727,0.299836050971193,15.510721830662844,98.15644082466534,1.1020719127807224,21.25595224623741,15.364085276432936,3515.65,128.19,106.58,2021-02-16 06:00:00,1070.80866
JUEVES,2021,5,27,12,2363972.0,267790.0,2631762.0,719.9580956370675,0.5679941765250809,26.49875365629567,48.241274226164826,0.1404807083619263,968.2307913063568,20.495904344693784,3747.48,136.1,108.84,2021-05-27 12:00:00,1321.00062
LUNES,2020,10,26,3,2322315.0,264928.0,2587243.0,0.0,-999.0,16.393803585515546,97.63278781312772,0.0110195022268878,0.0,16.20620319390177,3782.66,124.42,105.23,2020-10-26 03:00:00,741.45466
JUEVES,2020,11,5,11,2329125.0,265428.0,2594553.0,517.6534506059426,0.4053695993105556,20.571877706872822,75.9968709985882,0.006750438322131,977.8637701407524,18.38241699437244,3807.13,124.31,105.08,2020-11-05 11:00:00,1318.10917
DOALF,2020,8,16,2,2310289.0,264142.0,2574431.0,0.0,-999.0,17.327764667221608,96.02527769048773,0.0519035584950616,0.0,17.00731019786508,3783.15,123.54,104.96,2020-08-16 02:00:00,721.87434
LUNES,2019,1,14,10,2198722.0,209268.0,2407990.0,523.1478406264146,0.472992284021113,19.771067039314943,74.18201412796564,0.0759206433581534,830.3509689990408,17.355962944198275,3151.49,117.18,100.6,2019-01-14 10:00:00,1227.46
VIERNES,2022,1,21,22,2415165.0,271706.0,2686871.0,0.0,-999.0,17.757427405335054,90.62614460835673,0.0852691550878326,0.0,16.969074015834774,3980.8,152.8,113.26,2022-01-21 22:00:00,1130.67282
DOMINGO,2020,11,29,23,2329125.0,265428.0,2594553.0,0.0,-999.0,17.86779201658243,96.1407696855682,0.0482368446510824,0.0,17.574865269663018,3611.44,124.31,105.08,2020-11-29 23:00:00,863.37909
MARTES,2019,6,18,18,2230654.0,211438.0,2442092.0,0.4290540405521168,-913.8784034344324,20.013693923079064,92.96264966266628,0.0443918697575685,0.4039817173144992,19.418818484315903,3286.63,119.76,102.71,2019-06-18 18:00:00,1309.14
JSS,2022,4,14,23,2436301.0,272993.0,2709294.0,0.0,-999.0,16.509951869379993,98.69230897791086,0.1840004776152015,0.0,16.461873152193892,3737.32,162.89,117.71,2022-04-14 23:00:00,881.53599
VIERNES,2018,7,13,3,2166787.0,206036.0,2372823.0,0.0,-999.0,16.681441515022403,98.15064492800347,0.0077540254793551,0.0,16.539116411127168,2882.02,114.55,99.18,2018-07-13 03:00:00,788.11
MIERCOLES,2022,7,6,6,2454015.0,274089.0,2728104.0,50.933535602015176,0.2849480554993504,16.156576391515866,97.27982283666606,0.1707473725341849,71.43713418550026,15.938238406600336,4259.86,171.4,120.27,2022-07-06 06:00:00,1060.47661
MIERCOLES,2021,9,22,10,2388676.0,269725.0,2658401.0,593.9704066241324,0.4802047283310531,21.666856768410785,69.42729134919826,0.1957757727295468,955.0692633880292,18.683605674990343,3843.77,140.73,110.04,2021-09-22 10:00:00,1364.77731
LF,2018,11,5,16,2187533.0,208582.0,2396115.0,67.51854940184424,0.1786656984326712,19.46731706533284,89.32815782214126,0.4426802803705165,204.2594419007435,18.56620077917796,3177.57,117.02,99.7,2018-11-05 16:00:00,958.93
JUEVES,2018,1,25,0,2131430.0,203894.0,2335324.0,0.0,-999.0,15.497207509536151,97.77681576517864,0.0195221433942356,0.0,15.312016418278578,2820.53,113.31,97.52,2018-01-25 00:00:00,826.56
